

┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Location                                                                                         ┃     <Total Memory> ┃     Total Memory % ┃         Own Memory ┃      Own Memory % ┃  Allocation Count ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━┩
│ _run_tracker at                                                                                  │          106.755MB │             98.63% │            2.197KB │             0.00% │            150990 │
│ /Users/balaji/swiftagent/venv/lib/python3.11/site-packages/memray/commands/run.py                │                    │                    │                    │                   │                   │
│ run_path at <frozen runpy>                                                                       │          106.462MB │             98.36% │             0.000B │             0.00% │            150615 │
│ _run_code at <frozen runpy>                                                                      │          106.424MB │             98.33% │             0.000B │             0.00% │            150576 │
│ _run_module_code at <frozen runpy>                                                               │          106.424MB │             98.33% │             0.000B │             0.00% │            150576 │
│ <module> at test_finance.py                                                                      │          106.413MB │             98.32% │           814.000B │             0.00% │            150544 │
│ _find_and_load at <frozen importlib._bootstrap>                                                  │          103.470MB │             95.60% │           960.000B │             0.00% │            124616 │
│ _find_and_load_unlocked at <frozen importlib._bootstrap>                                         │          103.469MB │             95.60% │           34.588KB │             0.03% │            124614 │
│ _load_unlocked at <frozen importlib._bootstrap>                                                  │          103.462MB │             95.59% │          101.359KB │             0.09% │            124604 │
│ exec_module at <frozen importlib._bootstrap_external>                                            │          103.460MB │             95.59% │            1.225KB │             0.00% │            124602 │
│ _call_with_frames_removed at <frozen importlib._bootstrap>                                       │          103.387MB │             95.52% │            8.756MB │             8.09% │            124514 │
│ <module> at /Users/balaji/swiftagent/swiftagent/__init__.py                                      │           95.734MB │             88.45% │             0.000B │             0.00% │            123455 │
│ <module> at /Users/balaji/swiftagent/swiftagent/application/__init__.py                          │           91.529MB │             84.56% │             0.000B │             0.00% │             99218 │
│ <module> at /Users/balaji/swiftagent/swiftagent/application/base.py                              │           91.521MB │             84.56% │            3.922KB │             0.00% │             99206 │
│ <module> at /Users/balaji/swiftagent/swiftagent/reasoning/salient.py                             │           66.705MB │             61.63% │            1.688KB │             0.00% │             82711 │
│ <module> at /Users/balaji/swiftagent/swiftagent/memory/semantic.py                               │           66.700MB │             61.63% │             0.000B │             0.00% │             82703 │
│ <module> at /Users/balaji/swiftagent/swiftagent/memory/__init__.py                               │           66.700MB │             61.63% │             0.000B │             0.00% │             82703 │
│ <module> at /Users/balaji/swiftagent/swiftagent/memory/utils.py                                  │           51.035MB │             47.15% │            1.141KB │             0.00% │             34530 │
│ _handle_fromlist at <frozen importlib._bootstrap>                                                │           45.555MB │             42.09% │           584.000B │             0.00% │             35619 │
│ get_code at <frozen importlib._bootstrap_external>                                               │           45.129MB │             41.70% │             0.000B │             0.00% │             10051 │
└──────────────────────────────────────────────────────────────────────────────────────────────────┴────────────────────┴────────────────────┴────────────────────┴───────────────────┴───────────────────┘
